,conjunction set training time,decision tree training time,decision_tree_accuracy,decision_tree_auc,decision_tree_average_depth,decision_tree_max_depth,decision_tree_min_depth,df_name,ensemble max_depth,ensemble_accuracy,ensemble_auc,ensemble_average_depth,ensemble_min_depth,filter_approach,iteration,new model training time,new_model_accuracy,new_model_auc,new_model_average_depth,new_model_max_depth,new_model_min_depth,number of branches per iteration,number_of_branches,number_of_estimators,probability_threshold,random forest training time,sklearn_vs_our_ensemble_predictions_disagreements
299,151878,253918,0.9463414634146341,0.9463414634146341,3.3073170731707315,8,3,breast cancer,782,0.975609756097561,0.9910053539559787,606.8926829268293,547,probability,9,207631,0.9512195121951219,0.9634265318262937,18.082926829268292,28,5,"[137, 783, 4155, 12172, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 14983, 15000, 15000, 15000, 15000, 15000, 15000, 15000, 15000]",16858,150,15000,253649,0
300,879550,253596,0.8666666666666667,0.9,3.0444444444444443,4,1,iris,183,0.9555555555555556,0.9982716049382716,134.33333333333334,64,probability,0,89575,0.9555555555555556,0.9982716049382716,14.777777777777779,23,6,"[16, 30, 72, 138, 282, 389, 432, 920, 1329, 1963, 2563, 2609, 2960, 3470, 3804, 3861, 4623, 5276, 6222, 6566, 6567, 7482, 8186, 9535, 9790, 9911, 9911, 10328, 11705, 12173, 12467, 12516, 12516, 12574, 12666, 14468, 15008, 15002, 15006, 15013, 14995, 15000, 15000, 15000, 15006, 15000, 15002, 15002, 15000]",15146,50,15000,69031,1
301,565119,216173,0.9333333333333333,0.95,2.3555555555555556,5,1,iris,202,0.9555555555555556,0.9958024691358025,122.4,71,probability,1,361352,0.9555555555555556,0.9888888888888889,13.755555555555556,23,9,"[41, 83, 83, 131, 216, 289, 496, 697, 1079, 1120, 1303, 1696, 2064, 2710, 3212, 3462, 3494, 4418, 4665, 4974, 5109, 5436, 5975, 7146, 7613, 7849, 8523, 8705, 9413, 9629, 9736, 10335, 10589, 11476, 11476, 11857, 11857, 12508, 12631, 12678, 14874, 15009, 15000, 15002, 15001, 15002, 15002, 15002, 15002]",15196,50,15000,100267,1
302,690707,216155,0.9555555555555556,0.9637037037037037,2.2444444444444445,3,1,iris,202,0.9333333333333333,0.9938271604938271,135.51111111111112,60,probability,2,947502,0.9333333333333333,0.9809876543209877,13.488888888888889,20,8,"[8, 19, 41, 73, 154, 280, 296, 351, 394, 666, 766, 766, 797, 817, 882, 1349, 1545, 2485, 2941, 2989, 3402, 3411, 3411, 3627, 4195, 5183, 5604, 5781, 6795, 7932, 8825, 9165, 9165, 9227, 11362, 11554, 11554, 12276, 12492, 14489, 14936, 14962, 15000, 15015, 15015, 15029, 15008, 15000, 15017]",15081,50,15000,69012,0
303,268648,217170,0.9777777777777777,0.9833333333333334,2.5555555555555554,3,1,iris,198,0.9777777777777777,0.9987654320987653,133.2888888888889,56,probability,3,309644,0.9777777777777777,0.995432098765432,12.88888888888889,20,9,"[18, 50, 78, 125, 200, 515, 776, 986, 1154, 1188, 1374, 1482, 1707, 1981, 2342, 2352, 2628, 2807, 3820, 4368, 4935, 5016, 5272, 6209, 6368, 6447, 6582, 6582, 6832, 7065, 7311, 8173, 8176, 8557, 9301, 9924, 9924, 10659, 10961, 10961, 13062, 13334, 14093, 14269, 14269, 14745, 15007, 15001, 15004]",15268,50,15000,101068,3
304,273518,476338,0.9777777777777777,0.9953086419753087,2.422222222222222,3,1,iris,190,0.9777777777777777,0.9980246913580246,134.22222222222223,58,probability,4,133602,0.9777777777777777,0.9938271604938271,12.4,20,8,"[24, 63, 69, 166, 288, 433, 463, 591, 700, 1031, 1515, 1515, 1866, 2078, 2908, 3264, 3634, 3833, 4601, 4601, 4554, 4554, 4659, 5450, 5708, 7082, 7143, 7215, 7416, 7451, 7638, 7767, 8133, 8133, 8419, 8700, 9104, 9527, 10100, 10100, 12217, 12504, 13454, 13454, 14123, 14144, 15004, 15004, 15004]",15181,50,15000,69032,2
305,778557,216155,0.8888888888888888,0.9166666666666666,2.6444444444444444,4,1,iris,178,0.9333333333333333,0.9935802469135803,123.6,65,probability,5,199197,0.9333333333333333,0.991604938271605,14.0,24,10,"[11, 46, 165, 186, 206, 255, 304, 561, 639, 736, 889, 1121, 1121, 1415, 1469, 1594, 2065, 2346, 2801, 2815, 2987, 4034, 4597, 4597, 5302, 5302, 5841, 6996, 7032, 8066, 9166, 9376, 9376, 9492, 9492, 9996, 9996, 11203, 11278, 11624, 13077, 13077, 13077, 13274, 13343, 13343, 13988, 14316, 15006]",15202,50,15000,170621,2
306,166861,203265,0.9777777777777777,0.999753086419753,2.422222222222222,3,1,iris,190,0.9555555555555556,0.9990123456790123,133.46666666666667,61,probability,6,807660,0.9555555555555556,0.9980246913580246,14.733333333333333,22,9,"[21, 31, 50, 204, 401, 528, 605, 639, 955, 1124, 1478, 1597, 1657, 2023, 2744, 2884, 3224, 3384, 3904, 4416, 5648, 6474, 6890, 7156, 7156, 7734, 8279, 8543, 8814, 9503, 11192, 11452, 12473, 13345, 13975, 14460, 15001, 15002, 15005, 15000, 15000, 15000, 15008, 15000, 15004, 15001, 15000, 15001, 15001]",15089,50,15000,78129,3
307,615128,184934,0.9777777777777777,0.9833333333333334,2.511111111111111,4,1,iris,206,0.9777777777777777,0.9992592592592593,125.91111111111111,71,probability,7,291971,0.9777777777777777,0.9982716049382716,12.911111111111111,20,9,"[53, 136, 183, 376, 473, 691, 746, 1146, 1281, 1837, 2491, 2890, 3376, 3843, 4541, 5709, 6430, 6801, 7527, 8011, 8530, 8530, 9231, 9876, 10673, 11612, 11900, 14298, 14530, 15008, 15000, 15000, 15006, 15006, 15001, 15000, 15001, 15001, 15005, 15000, 14961, 15009, 15001, 15004, 15004, 15005, 15007, 15003, 15003]",15201,50,15000,67549,0
308,79101,200534,0.9555555555555556,0.9666666666666668,2.2,4,1,iris,182,0.9777777777777777,0.9977777777777778,119.44444444444444,86,probability,8,812216,0.9777777777777777,0.9859259259259259,14.488888888888889,20,10,"[17, 35, 95, 154, 209, 406, 510, 533, 864, 1216, 1230, 1499, 1672, 2050, 2074, 2164, 2515, 2658, 3244, 3378, 3510, 3718, 4322, 4418, 4645, 5101, 6295, 6805, 7830, 9391, 9726, 10062, 11467, 11716, 11716, 11866, 11891, 11891, 12318, 12574, 12527, 14410, 15010, 15010, 15001, 15000, 15004, 15001, 15004]",15154,50,15000,81377,0
